"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, AEROSPACE','ENGINEERING, MECHANICAL','MECHANICS','NUCLEAR SCIENCE & TECHNOLOGY','THERMODYNAMICS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
111,ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,"9,213",2.186,0.019390,2.503
112,ACTA MECHANICA,"6,249",2.166,0.007550,0.489
113,Engineering Applications of Computational Fluid Mechanics,807,2.163,0.001120,0.401
114,International Journal of Structural Stability and Dynamics,"1,744",2.156,0.002310,0.318
115,GRANULAR MATTER,"2,196",2.145,0.004120,0.807
116,Journal of Computational and Nonlinear Dynamics,"1,805",2.135,0.003390,0.465
117,IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,"1,381",2.113,0.001620,0.448
118,Chinese Journal of Aeronautics,"2,846",2.095,0.005140,0.446
119,JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS,623,2.083,0.000610,0.427
120,INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING,"3,756",2.075,0.002610,0.506
121,JOURNAL OF GUIDANCE CONTROL AND DYNAMICS,"10,838",2.061,0.009630,0.624
122,JOURNAL OF TURBULENCE,"1,302",2.038,0.002390,0.731
123,Nuclear Materials and Energy,789,2.025,0.003540,Not Available
124,JOURNAL OF NONLINEAR SCIENCE,"1,570",2.017,0.004980,1.566
125,EXPERIMENTAL HEAT TRANSFER,963,2.000,0.000630,0.280
125,INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW,"7,026",2.000,0.006490,0.723
127,JOURNAL OF ELECTRONIC PACKAGING,"1,252",1.990,0.001200,0.352
128,MECHANICS BASED DESIGN OF STRUCTURES AND MACHINES,580,1.986,0.000720,0.354
129,RADIATION PHYSICS AND CHEMISTRY,"7,911",1.984,0.007500,0.310
130,FLOW MEASUREMENT AND INSTRUMENTATION,"2,156",1.977,0.002880,0.386
131,MICROGRAVITY SCIENCE AND TECHNOLOGY,940,1.973,0.000660,0.210
132,INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,"2,095",1.958,0.002470,0.309
133,NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,"3,313",1.953,0.003710,0.427
134,AIAA JOURNAL,"20,946",1.951,0.014020,0.684
135,THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS,"1,201",1.940,0.001460,0.640
136,International Journal of Applied Mechanics,"1,327",1.939,0.002350,0.397
137,JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,"3,923",1.929,0.004180,0.504
138,JOURNAL OF ELASTICITY,"2,340",1.906,0.002480,0.784
139,Journal of Hydrodynamics,"1,900",1.855,0.002330,0.323
140,MECHANICS OF TIME-DEPENDENT MATERIALS,741,1.831,0.000930,0.408
141,EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,"2,696",1.811,0.004330,0.576
142,JOURNAL OF PROPULSION AND POWER,"6,538",1.803,0.005890,0.547
143,MATHEMATICS AND MECHANICS OF SOLIDS,"1,167",1.791,0.002690,0.523
144,International Journal of Precision Engineering and Manufacturing,"3,337",1.779,0.004910,0.267
145,TRIBOLOGY TRANSACTIONS,"3,563",1.759,0.003020,0.387
146,CONTINUUM MECHANICS AND THERMODYNAMICS,"1,259",1.758,0.002240,0.529
147,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE,"4,536",1.752,0.003810,0.294
148,Journal of the Brazilian Society of Mechanical Sciences and Engineering,"2,138",1.743,0.002910,0.247
149,JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME,"7,541",1.720,0.004240,0.398
150,MACHINING SCIENCE AND TECHNOLOGY,"1,014",1.716,0.000780,0.389
151,HEAT TRANSFER ENGINEERING,"3,136",1.703,0.002640,0.306
152,APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION,"2,211",1.699,0.002080,0.263
153,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART A-JOURNAL OF POWER AND ENERGY,"1,968",1.694,0.001440,0.326
154,Lubrication Science,675,1.682,0.000690,0.303
155,JOURNAL OF THE ASTRONAUTICAL SCIENCES,967,1.657,0.000680,0.518
