"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, AEROSPACE','ENGINEERING, MECHANICAL','MECHANICS','NUCLEAR SCIENCE & TECHNOLOGY','THERMODYNAMICS' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
295,RADIOPROTECTION,297,0.458,0.000320,0.119
296,International Journal of Heavy Vehicle Systems,160,0.450,0.000120,0.094
297,HIGH TEMPERATURES-HIGH PRESSURES,560,0.431,0.000320,0.144
298,Mechanics of Solids,625,0.418,0.000520,0.109
299,HEAT TRANSFER RESEARCH,461,0.398,0.000500,0.118
300,FORSCHUNG IM INGENIEURWESEN-ENGINEERING RESEARCH,334,0.365,0.000110,0.100
301,ESA BULLETIN-EUROPEAN SPACE AGENCY,319,0.348,0.000160,0.141
302,Journal of Vibration Engineering & Technologies,127,0.325,0.000180,0.061
303,ATOMIC ENERGY,728,0.302,0.000390,0.045
304,KERNTECHNIK,200,0.265,0.000470,0.094
305,TRANSACTIONS OF THE CANADIAN SOCIETY FOR MECHANICAL ENGINEERING,330,0.243,0.000400,0.087
306,ISI Bilimi ve Teknigi Dergisi-Journal of Thermal Science and Technology,106,0.217,0.000110,0.056
307,ASHRAE JOURNAL,793,0.209,0.000300,0.052
308,ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER,57,0.075,0.000120,0.022
309,JOURNAL OF ENHANCED HEAT TRANSFER,311,0.066,0.000160,0.083
310,AEROSPACE AMERICA,83,0.050,0.000030,0.006
311,Journal of the Chinese Society of Mechanical Engineers,93,0.044,0.000030,0.009
311,NUCLEAR ENGINEERING INTERNATIONAL,107,0.044,0.000130,0.027
Copyright © 2019 Clarivate Analytics,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,
