"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, CHEMICAL' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
102,COLOR RESEARCH AND APPLICATION,"1,901",1.027,0.000860,0.204
103,TURKISH JOURNAL OF CHEMISTRY,"1,569",1.000,0.000980,0.160
104,PETROLEUM CHEMISTRY,"1,269",0.991,0.001270,0.146
105,Membrane Water Treatment,234,0.975,0.000200,0.100
105,Polish Journal of Chemical Technology,529,0.975,0.000680,0.129
107,INTERNATIONAL POLYMER PROCESSING,892,0.942,0.000610,0.142
108,Energy Sources Part A-Recovery Utilization and Environmental Effects,"2,448",0.894,0.002790,0.126
109,PROCESS SAFETY PROGRESS,798,0.885,0.000680,0.183
110,CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY,844,0.859,0.000770,0.214
111,JOURNAL OF MICROWAVE POWER AND ELECTROMAGNETIC ENERGY,502,0.850,0.000190,0.146
112,COMBUSTION EXPLOSION AND SHOCK WAVES,"2,009",0.825,0.001130,0.186
113,Chemical Industry & Chemical Engineering Quarterly,479,0.806,0.000560,0.148
114,BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,"2,039",0.790,0.001590,0.259
115,SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN,191,0.771,0.000180,0.131
116,Chemical and Process Engineering-Inzynieria Chemiczna I Procesowa,377,0.759,0.000340,0.134
117,TENSIDE SURFACTANTS DETERGENTS,484,0.748,0.000390,0.097
118,Pigment & Resin Technology,537,0.724,0.000310,0.093
119,CHEMICAL & ENGINEERING NEWS,"1,314",0.687,0.001770,0.091
120,International Journal of Oil Gas and Coal Technology,298,0.683,0.000510,0.133
121,Macedonian Journal of Chemistry and Chemical Engineering,177,0.644,0.000210,0.120
122,JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,"2,372",0.627,0.000810,0.096
123,INDIAN JOURNAL OF CHEMICAL TECHNOLOGY,929,0.614,0.000350,0.090
124,China Petroleum Processing & Petrochemical Technology,201,0.600,0.000290,0.076
125,Hemijska Industrija,465,0.566,0.000570,0.113
126,THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING,881,0.520,0.000590,0.073
127,Solid Fuel Chemistry,472,0.516,0.000300,0.075
128,Science and Technology of Energetic Materials,171,0.510,0.000120,0.070
129,CHEMICAL ENGINEERING PROGRESS,"1,941",0.466,0.000350,0.097
130,IRANIAN JOURNAL OF CHEMISTRY & CHEMICAL ENGINEERING-INTERNATIONAL ENGLISH EDITION,534,0.461,0.000330,0.081
131,PRZEMYSL CHEMICZNY,"1,084",0.428,0.000890,0.034
132,AATCC REVIEW,161,0.364,0.000040,0.044
133,CHEMISTRY AND TECHNOLOGY OF FUELS AND OILS,417,0.356,0.000420,0.070
134,FILTRATION & SEPARATION,380,0.207,0.000070,0.022
135,KAGAKU KOGAKU RONBUNSHU,285,0.190,0.000090,0.024
136,KGK-Kautschuk Gummi Kunststoffe,397,0.188,0.000140,0.041
137,LATIN AMERICAN APPLIED RESEARCH,301,0.018,0.000080,0.029
138,SURFACE COATINGS INTERNATIONAL,170,0.000,0.000000,0.004
Copyright © 2019 Clarivate Analytics,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,
