"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'EDUCATION & EDUCATIONAL RESEARCH','EDUCATION, SCIENTIFIC DISCIPLINES','EDUCATION, SPECIAL' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
146,Intellectual and Developmental Disabilities,952,1.582,0.001620,0.717
147,Australasian Journal of Educational Technology,"1,312",1.578,0.000770,0.230
148,INSTRUCTIONAL SCIENCE,"2,143",1.576,0.002080,0.769
149,Language Culture and Curriculum,523,1.571,0.000810,0.662
150,DYSLEXIA,842,1.568,0.000860,0.653
151,Language Teaching,"1,295",1.565,0.001470,0.977
152,Journal of Deaf Studies and Deaf Education,"1,483",1.556,0.001000,0.436
153,JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,"1,292",1.543,0.000790,0.266
154,Early Education and Development,"1,937",1.539,0.002640,0.625
155,JOURNAL OF SPECIAL EDUCATION,"1,291",1.537,0.001290,0.941
156,JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,"1,061",1.533,0.000670,0.246
157,European Journal of Dental Education,"1,182",1.531,0.000860,0.269
158,LEARNING DISABILITY QUARTERLY,871,1.525,0.000860,0.693
159,JOURNAL OF SCHOOL HEALTH,"3,621",1.521,0.004340,0.632
159,JOURNAL OF SCHOOL HEALTH,"3,621",1.521,0.004340,0.632
161,ECONOMICS OF EDUCATION REVIEW,"3,701",1.519,0.006640,1.262
161,Journal of Hospitality Leisure Sport & Tourism Education,371,1.519,0.000190,0.120
163,Linguistics and Education,872,1.516,0.001130,0.453
164,REVIEW OF HIGHER EDUCATION,"1,246",1.500,0.000880,0.739
165,Sex Education-Sexuality Society and Learning,730,1.479,0.001050,0.315
166,JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY,"1,253",1.467,0.001010,0.416
167,JOURNAL OF AMERICAN COLLEGE HEALTH,"3,309",1.455,0.002500,0.574
168,ADULT EDUCATION QUARTERLY,744,1.438,0.000290,0.258
169,International Journal of Sustainability in Higher Education,"1,664",1.437,0.000630,0.220
170,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,908,1.435,0.000490,0.090
171,Scandinavian Journal of Educational Research,963,1.432,0.001030,0.371
172,JOURNAL OF CURRICULUM STUDIES,"1,759",1.420,0.001100,0.407
173,INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,"1,784",1.406,0.002070,0.396
174,Journal of Agricultural Education & Extension,494,1.388,0.000570,Not Available
175,Exceptionality,451,1.382,0.000430,0.420
175,RESEARCH IN SCIENCE EDUCATION,"1,533",1.382,0.001720,0.445
177,International Journal of Multilingualism,520,1.375,0.000690,Not Available
178,JOURNAL OF EDUCATION FOR TEACHING,763,1.373,0.000900,0.339
179,JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,690,1.372,0.000380,0.137
180,Mind Culture and Activity,732,1.367,0.000620,0.426
181,BRITISH EDUCATIONAL RESEARCH JOURNAL,"2,540",1.364,0.002360,0.639
182,ReCALL,633,1.361,0.000720,0.598
183,ACM Transactions on Computing Education,326,1.356,0.000550,0.396
184,ELT Journal,"1,608",1.351,0.000760,0.325
185,Educational Measurement-Issues and Practice,834,1.350,0.001300,1.125
186,THEORY INTO PRACTICE,"3,028",1.347,0.001520,0.622
187,BEHAVIORAL DISORDERS,677,1.343,0.000520,0.462
187,Vocations and Learning,308,1.343,0.000320,0.279
189,International Journal of Educational Research,"1,960",1.341,0.002040,0.430
190,Higher Education Policy,809,1.333,0.000540,0.300
191,Focus on Autism and Other Developmental Disabilities,701,1.327,0.001160,0.733
192,JOURNAL OF RESEARCH IN READING,"1,071",1.323,0.001230,0.640
193,INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,573,1.319,0.000440,0.178
194,AMERICAN JOURNAL OF EDUCATION,"1,156",1.316,0.001290,1.001
195,Journal of Higher Education Policy and Management,940,1.310,0.000770,Not Available
196,GIFTED CHILD QUARTERLY,916,1.304,0.000330,0.236
197,HEALTH EDUCATION RESEARCH,"4,309",1.301,0.003450,0.723
