"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'CONSTRUCTION & BUILDING TECHNOLOGY','ENGINEERING, CIVIL','TRANSPORTATION SCIENCE & TECHNOLOGY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
101,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,"2,040",1.540,0.002050,0.357
102,Journal of Infrastructure Systems,"1,572",1.538,0.001790,0.481
103,Natural Hazards Review,"1,231",1.526,0.001080,0.468
104,Transport,645,1.524,0.000690,0.234
105,INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,"1,537",1.523,0.001940,0.264
106,JOURNAL OF TRANSPORTATION ENGINEERING,"3,656",1.520,0.001770,0.321
107,Transportation Letters-The International Journal of Transportation Research,311,1.500,0.000490,0.318
108,ACI MATERIALS JOURNAL,"5,560",1.453,0.002200,0.453
109,SURVEY REVIEW,618,1.442,0.000830,0.255
110,International Journal of Architectural Heritage,724,1.440,0.001140,0.293
111,JOURNAL OF HYDROLOGIC ENGINEERING,"5,003",1.438,0.005570,0.477
112,KSCE Journal of Civil Engineering,"2,928",1.428,0.004230,0.242
113,JOURNAL OF SHIP RESEARCH,959,1.406,0.000560,0.513
114,CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS,385,1.394,0.000340,0.248
115,JOURNAL OF AEROSPACE ENGINEERING,"1,547",1.373,0.002370,0.299
116,INDOOR AND BUILT ENVIRONMENT,"1,483",1.367,0.001670,0.276
117,ADVANCES IN CEMENT RESEARCH,"1,099",1.355,0.001060,0.325
118,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,"3,461",1.340,0.002460,0.345
119,Journal of Advanced Concrete Technology,"1,443",1.336,0.001010,0.318
120,ADVANCES IN STRUCTURAL ENGINEERING,"1,792",1.320,0.002950,0.328
121,Proceedings of the Institution of Civil Engineers-Engineering Sustainability,423,1.302,0.000370,0.222
122,ACI STRUCTURAL JOURNAL,"6,117",1.287,0.003530,0.494
123,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING,"2,744",1.275,0.002730,0.309
124,Frontiers of Structural and Civil Engineering,497,1.272,0.000900,Not Available
125,WIND AND STRUCTURES,951,1.256,0.001320,0.285
126,Science and Technology for the Built Environment,468,1.199,0.001340,0.324
127,INTERNATIONAL JOURNAL OF VEHICLE DESIGN,766,1.190,0.000870,0.254
128,Journal of Pipeline Systems Engineering and Practice,360,1.181,0.000620,0.294
129,Building Services Engineering Research & Technology,717,1.170,0.000560,0.208
130,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,"1,077",1.165,0.000930,0.263
131,JOURNAL OF ENERGY ENGINEERING,854,1.131,0.001140,0.216
132,Latin American Journal of Solids and Structures,976,1.125,0.002030,0.252
133,Advances in Civil Engineering,547,1.104,0.000420,Not Available
134,JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,"1,100",1.051,0.000800,0.192
135,Earthquake Engineering and Engineering Vibration,"1,161",1.050,0.001430,0.358
136,Journal of Building Physics,448,1.036,0.000420,0.258
137,Periodica Polytechnica-Civil Engineering,352,0.976,0.000520,0.140
138,Beton- und Stahlbetonbau,634,0.966,0.001000,0.179
139,Advanced Steel Construction,293,0.957,0.000460,0.267
140,TRANSPORTATION PLANNING AND TECHNOLOGY,854,0.893,0.000770,0.245
141,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS,867,0.877,0.000970,0.235
142,International Journal of Steel Structures,770,0.873,0.001310,0.220
143,International Journal of Ventilation,308,0.860,0.000290,0.152
144,JOURNAL AMERICAN WATER WORKS ASSOCIATION,"2,966",0.838,0.001340,0.155
145,Iranian Journal of Science and Technology-Transactions of Civil Engineering,184,0.800,0.000300,0.130
145,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,127,0.800,0.000190,0.198
147,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,356,0.792,0.000340,0.134
148,Baltic Journal of Road and Bridge Engineering,229,0.771,0.000230,0.093
149,Promet-Traffic & Transportation,407,0.768,0.000410,0.111
150,JOURNAL OF COLD REGIONS ENGINEERING,319,0.761,0.000220,0.199
151,TRANSPORTATION RESEARCH RECORD,"19,368",0.748,0.015890,0.270
152,CANADIAN JOURNAL OF CIVIL ENGINEERING,"3,199",0.742,0.002090,0.285
153,INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,701,0.741,0.000640,0.210
154,Journal of Transportation Engineering Part B-Pavements,20,0.722,0.000020,0.119
155,PCI JOURNAL,"1,156",0.717,0.000520,0.306
156,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,704,0.706,0.000460,0.201
157,CHINA OCEAN ENGINEERING,555,0.693,0.000680,0.141
158,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-CIVIL ENGINEERING,313,0.683,0.000200,0.097
159,Journal of Transportation Engineering Part A-Systems,72,0.641,0.000150,0.126
160,Revista Romana de Materiale-Romanian Journal of Materials,221,0.628,0.000200,0.053
161,Bauingenieur,298,0.622,0.000700,0.164
162,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER,231,0.614,0.000150,0.094
